שם יישוב,קואורדינטות
סח'נין,2283275220
סייד (שבט),1922057760
סלמה,2343575554
סלעית,2049568321
סמר,2018741600
סנסנה,1906958567
סעד,1557859782
סעוה,1971857373
סער,2105177051
ספיר,2175250272
סתרייה,1854164419
ע'ג'ר,2584979731
עבדון,2171777254
עברון,2097476631
עגור,1917562283
עד הלום,1681563008
עדי,2165974306
עדנים,1912367181
עוזה,1776861129
עוזייר,2308174398
עולש,1988569317
עומר,1857557518
עופר,1985872535
עוצם,1719661615
עוקבי (בנו עוקבה) (שבט),1920057700
עזוז,1494252264
עזר,1689162724
עזריאל,1974268544
עזריה,1915664420
עזריקם,1713862880
עטאוונה (שבט),1932057690
עטרת,2168865636
עידן,2286452400
עידן הנגב,1797658736
עיילבון,2379274908
עיינות,1781664704
עילוט,2248173590
עין איילה,1952172612
עין אל-אסד,2376876064
עין גב,2601674321
עין גדי,2365959563
עין דור,2393272923
עין הבשור,1468957689
עין הוד,1987073394
עין החורש,1945469914
עין המפרץ,2093675647
"עין הנצי""ב",2473370854
עין העמק,2082272605
עין השופט,2096872240
עין השלושה,1430658468
עין ורד,1937568567
עין זיוון,2746877807
עין חוד,2002673302
עין חצבה,2234252310
עין חרוד (איחוד),2369971883
עין חרוד (מאוחד),2370271825
עין יהב,2226250753
עין יעקב,2218476829
"עין כרם-בי""ס חקלאי",2145863172
עין כרמל,1958573145
עין מאהל,2333773641
עין נקובא,2115163339
עין עירון,2011170996
עין צורים,1735162269
עין קנייא,2685879363
עין ראפה,2109463307
עין שמר,2009070775
עין שריד,1941268670
עין תמר,2356653913
עינת,1942566553
עיר אובות,2233552445
עכו,2082475927
עלומים,1537659579
עלי,2253466435
עלי זהב,2062566427
עלמה,2470477293
עלמון,2280763760
עמוקה,2493976704
עמיחי,2311666140
עמינדב,2135062878
עמיעד,2509375929
עמיעוז,1440657325
עמיקם,2022171878
עמיר,2582378705
עמנואל,2132267433
"עמק בית שאן מ""א 7",2474070920
"עמק בית שאן של""ש",
"עמק חולה מ""א 1",2578078330
"עמק חולה מ""א 55",2580077650
"עמק חולה של""ש",
"עמק חפר מזרח מ""א 16",2289073170
"עמק חרוד מ""א 8",2368071640
"עמק חרוד של""ש",
"עמק יזרעאל מ""א 13",2185072150
"עמק יזרעאל מ""א 8",2268071730
"עמק יזרעאל מ""א 9",2244072700
עמקה,2154876490
ענב,2120668784
עספיא,2063873586
עפולה,2286172472
עפרה,2249765114
עץ אפרים,2045766948
עצמון שגב,2238875232
עראבה,2319775077
עראמשה*,2214477704
ערב אל נעים,2274875480
ערד,2203557414
ערוגות,1785162692
ערערה,2086871174
ערערה-בנגב,2021956302
עשרת,1761763696
עתלית,1949373301
עתניאל,2027959416
פארן,2146647484
"פארק הירדן מ""א 6",
פארק תעשיות ספירים,1614560283
פארק תעשיות עמק חפר,1903970090
פדואל,2050866319
פדויים,1629858183
פדיה,1889964061
פוריידיס,1957972265
פורייה - כפר עבודה,2515473616
פורייה - נווה עובד,2506573889
פורייה עילית,2515273737
פורת,1955168698
פטיש,1581258191
פלך,2221675987
פלמחים,1723464906
פני חבר,2157559933
פסגות,2213864510
פסוטה,2292977260
"פעמי תש""ז",1708159424
פצאל,2419266123
פקיעין (בוקייעה),2313576483
פקיעין חדשה,2304976544
פרדס חנה-כרכור,1979770877
פרדסייה,1917769028
פרוד,2407475969
פרזון,2294471684
פרי גן,1385557032
פתח תקווה,1894266579
פתחיה,1892964165
צאלים,1555756821
צביה,2313675498
צבעון,2392377000
צובה,2114063231
צוחר,1452657190
צופייה,1753964049
צופים,2010167832
צופית,1927067776
צופר,2171749669
צוקי ים,1869369644
צוקים,2157948903
צור הדסה,2092062486
צור יצחק,2001068308
צור משה,1920868938
צור נתן,2014368303
צוריאל,2296776797
צורית,2238775641
ציפורי,2263973898
צלפון,1935563469
צנדלה,2306271428
צפרייה,1865665670
צפרירים,1947461865
צפת,2475776328
צרופה,1953472826
צרעה,1971663005
קבועה (שבט),2160057200
קבוצת יבנה,1735563595
קדומים,2152868054
קדימה-צורן,1926468744
קדמה,1787462323
קדמת צבי,2655377065
קדר,2294162889
קדרון,1807863592
קדרים,2447075593
קודייראת א-צאנע (שבט),2110057800
קוואעין (שבט),2020058100
קוממיות,1745361889
קורנית,2239674988
קטורה,2056143125
קיסריה,1916171235
קלחים,1694059538
קליה,2443462865
קלנסווה,1980468829
קלע,2642178191
קציר,2099971023
קצר א-סר,1982455466
קצרין,2645476648
קריית אונו,1866566309
קריית ארבע,2112760481
קריית אתא,2104674550
קריית ביאליק,2087474929
קריית גת,1778361308
קריית חינוך מרחבים*,1617958047
קריית טבעון,2121573566
קריית ים,2070575043
קריית יערים,2096463456
קריית יערים (מוסד),2099563543
קריית מוצקין,2078174905
קריית מלאכי,1759662669
קריית נטפים,2107066931
קריית ענבים,2114163531
קריית עקרון,1833664101
קריית שלמה,1871368234
קריית שמונה,2538579076
קרית חינוך עזתה,1612659335
קרית תעופה,1918565510
קרני שומרון,2088467512
קשת,2759176514
ראמה,2346676038
ראס אל-עין,2351775772
ראס עלי,2147974196
ראש העין,1961966686
ראש פינה,2510676372
ראש צורים,2119361950
ראשון לציון,1812065295
רבבה,2123066950
רבדים,1826563130
רביבים,1733855041
רביד,2437875070
רגבה,2096576475
רגבים,2034971441
רהט,1765758882
רווחה,1747761753
רוויה,2447470611
רוח מדבר,1744654349
רוחמה,1721160075
רומאנה,2294274370
רומת הייב,2288574255
רועי,2463068380
רותם,2490869373
רחוב,2462270634
רחובות,1819464438
רחלים,2244166767
ריחאנייה,2458877272
ריחן,2129770830
ריינה,2295373626
רימונים,2323664896
רינתיה,1933766127
רכסים,2097873968
רם-און,2246471474
רמות,2627375064
רמות השבים,1892967483
רמות מאיר,1865064238
רמות מנשה,2056872258
רמות נפתלי,2520277853
רמלה,1875264835
רמת גן,1835466402
רמת דוד,2192073153
רמת הכובש,1943368044
רמת השופט,2091072404
רמת השרון,1852067183
רמת יוחנן,2117474431
רמת ישי,2158173426
"רמת כוכב מ""א 7",2497072050
"רמת כוכב מ""א 8",2427072230
"רמת כוכב מ""א 9",2362072710
"רמת כוכב של""ש",
רמת מגשימים,2759575016
"רמת מנשה מ""א 13",2093072110
"רמת מנשה של""ש",
רמת צבי,2391272193
רמת רזיאל,2070263124
רמת רחל,2207962742
רנן,1620658307
רעים,1485858842
רעננה,1879267694
רקפת,2251075112
רשפון,1836167862
רשפים,2450370959
רתמים,1703255151
שאר ישוב,2606679242
שבי דרום,1657359723
שבי ציון,2082076520
שבי שומרון,2176368555
שבלי - אום אל-גנם,2380073275
שגב-שלום,1846456733
שדה אילן,2399773935
שדה אליהו,2485370519
שדה אליעזר,2529977230
שדה בוקר,1801253146
שדה דוד,1700560944
שדה ורבורג,1910467937
שדה יואב,1694461708
שדה יעקב,2135473375
שדה יצחק,1996070126
שדה משה,1812161329
שדה נחום,2454771487
שדה נחמיה,2585578807
שדה ניצן,1446557122
שדה עוזיהו,1695562943
שדה צבי,1726759530
שדות ים,1901671086
שדות מיכה,1925462543
שדי אברהם,1367156924
שדי חמד,1948167404
שדי תרומות,2459270520
שדמה,1756363779
שדמות דבורה,2411773355
שדמות מחולה,2504469484
שדרות,1615060418
שואבה,2074863395
שובה,1566959571
שובל,1756559148
שוהם,1949465613
שומרה,2268677643
שומרייה,1889659340
שוקדה,1548259242
שורש,2062763384
שורשים,2246175536
שושנת העמקים,1867569564
שזור,2333275981
שחר,1740161425
שחרות,1997042399
שיבולים,1626858946
שיטים,2013045424
שייח' דנון,2141976650
שילה,2286166224
שילת,2020064728
שכניה,2234275046
שלווה,1779360802
שלווה במדבר,1746152689
שלוחות,2454070861
שלומי,2142177563
שלומית,1337356441
שלומציון,2467566743
שמיר,2619478579
שמעה,2012258844
שמרת,2092076183
שמשית,2234173758
שני,2066558490
שניר,2635779414
שעב,2224375501
שעל,2674078025
שעלבים,1984964193
שער אפרים,1999368838
שער הגולן,2569373258
שער העמקים,2108373650
שער מנשה,2016170594
שערי תקווה,2026566996
שפיים,1836768049
שפיר,1743262283
"שפלת יהודה מ""א 26",1939062680
"שפלת יהודה של""ש",
שפר,2411276098
שפרעם,2164074572
שקד,2160970880
שקף,1939560256
שרונה,2440173687
שריגים (לי-און),1939062060
שריד,2214672985
שרשרת,1622559044
שתולה,2297077667
שתולים,1701263135
תאשור,1660658680
תדהר,1645658762
תובל,2232275933
תומר,2416065841
תושייה,1563759372
תימורים,1771962485
תירוש,1892862871
תל אביב -יפו,1802766486
תל חי (מכללה),2543679339
תל יוסף,2377871801
תל יצחק,1877568442
תל מונד,1924068438
תל עדשים,2286672909
תל קציר,2581973451
תל שבע,1867057304
תל תאומים,2468570537
תלם,2030460789
תלמי אליהו,1455757108
תלמי אלעזר,1981270578
"תלמי ביל""ו",1662859411
תלמי יוסף,1391756807
תלמי יחיאל,1776162904
תלמי יפה,1633861413
תלמים,1689060813
תמרת,2214073433
תנובות,1966869022
תעוז,1977063427
תעשיון בינימין*,1957967601
תעשיון דלתון,2451577021
תעשיון השרון,1927868692
תעשיון חבל יבנה,1690063621
תעשיון חצב*,1961366378
תעשיון מבצע*,1767563096
תעשיון מיתרים,2005458682
תעשיון צריפין,1862665227
תעשיון ראם*,1799462954
"תעשיון שח""ק",2169970888
תעשיות גליל תחתון,2436674342
תפרח,1693658163
תקומה,1600359560
תקוע,2218961753
תראבין א-צאנע (שבט),1830056400
תרבין א-צאנע (יישוב)*,1752658369
תרום,1983663227
